City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Idaho Falls,US,43.4666,-112.0341,53.38,82,0,4.61,clear sky
252,Huilong,CN,31.8111,121.655,76.93,93,4,8.72,clear sky
253,Amahai,ID,-3.3333,128.9167,75.45,90,100,3.98,light rain
254,Puerto Escondido,MX,15.85,-97.0667,76.03,64,100,5.75,overcast clouds
255,Yunyang,CN,33.4474,112.7142,79.59,49,99,1.83,overcast clouds
256,Honningsvag,NO,70.9821,25.9704,46.15,93,100,21.85,light rain
257,Esperance,AU,-33.8667,121.9,57.18,79,60,7.31,broken clouds
258,Chuy,UY,-33.6971,-53.4616,65.84,59,100,13.65,overcast clouds
259,Termiz,UZ,37.2242,67.2783,78.89,25,3,0.0,haze
260,Rio Grande,BR,-32.035,-52.0986,67.95,67,28,17.4,scattered clouds
261,Mount Isa,AU,-20.7333,139.5,74.97,19,3,10.36,clear sky
262,Zaragoza,ES,41.6561,-0.8773,77.86,30,0,8.05,clear sky
263,Isangel,VU,-19.55,169.2667,72.82,86,33,10.78,scattered clouds
264,Behbahan,IR,30.5959,50.2417,93.87,10,0,7.4,clear sky
265,Pudozh,RU,61.8099,36.5345,49.5,91,100,8.34,overcast clouds
266,Dolores,AR,-36.3132,-57.6792,66.6,57,100,14.94,overcast clouds
267,Rabo De Peixe,PT,37.8,-25.5833,76.51,65,20,12.66,few clouds
268,Ilulissat,GL,69.2167,-51.1,44.62,76,75,3.44,broken clouds
269,Casma,CL,-41.0082,-73.1244,46.0,76,98,5.91,overcast clouds
270,Haimen,CN,23.1935,116.6142,79.16,85,73,6.82,broken clouds
271,Malinyi,TZ,-8.9333,36.1333,87.1,32,22,2.55,few clouds
272,Nagaur,IN,27.2,73.7333,84.6,49,3,13.58,clear sky
273,Khandyga,RU,62.6667,135.6,41.81,73,100,8.68,overcast clouds
274,Churapcha,RU,62.0025,132.4325,39.92,90,100,4.45,overcast clouds
275,Port Lincoln,AU,-34.7333,135.8667,54.52,77,100,16.89,overcast clouds
